=== 接口1：飞行总览统计（openTotalDataByDept） ===
shelterNum,flyLineNum,achieveNum,flyerNum,workOrderNum,recordCount,flyPlaneNum,flightLength,durationHours,,
11,48,156,12,50,168,60,1392.47,35.1,,

=== 接口2：分页查询AI识别结果（openAssociatedFlyRecord） ===
total,25,
flyRecordId,flyRecordName,flyLineId,flyLineName,flyerId,flyerName,createTime,shelterId,shelterName,,
1001,巡检飞行记录-东区线路,2001,指点飞行,3001,张三,2026/5/9 10:30,4001,1号方舱,,
1002,巡检飞行记录-西区线路,2002,航线飞行,3002,李四,2026/5/9 14:20,4002,2号方舱,,
1003,巡检飞行记录-南区线路,2003,指点飞行,3003,王五,2026/5/10 9:15,4001,1号方舱,,
1004,巡检飞行记录-北区线路,2004,航线飞行,3001,张三,2026/5/10 13:45,4003,3号方舱,,
1005,应急巡检-故障点A,2005,指点飞行,3004,赵六,2026/5/11 8:00,4002,2号方舱,,
1006,日常巡检-中心区域,2006,航线飞行,3002,李四,2026/5/11 16:30,4001,1号方舱,,
1007,夜间巡检-高压线路,2007,指点飞行,3003,王五,2026/5/12 20:10,4004,4号方舱,,
1008,巡检飞行记录-变电站周边,2008,航线飞行,3004,赵六,2026/5/12 11:25,4003,3号方舱,,
1009,巡检飞行记录-河流区域,2009,指点飞行,3001,张三,2026/5/13 7:50,4002,2号方舱,,
1010,巡检飞行记录-山区线路,2010,航线飞行,3002,李四,2026/5/13 15:40,4001,1号方舱,,

=== 接口3：各单位工单统计（openWorkOrderOverview） ===
deptId,deptName,workOrderTotalNum,toReceiveNum,receivedNum,completedNum,displayDate
100,省公司,56,12,28,16,
101,市公司A,22,5,12,5,
101,市公司A,22,2,4,2,2026/5/9
101,市公司A,22,1,3,1,2026/5/10
101,市公司A,22,2,5,2,2026/5/11
102,市公司B,18,4,9,5,
102,市公司B,18,1,3,2,2026/5/9
102,市公司B,18,2,4,1,2026/5/10
102,市公司B,18,1,2,2,2026/5/11
103,市公司C,16,3,7,6,
103,市公司C,16,1,2,3,2026/5/9
103,市公司C,16,1,3,2,2026/5/10
103,市公司C,16,1,2,1,2026/5/11

=== 接口4：各单位任务统计（openTaskOverview） ===
deptId,deptName,taskTotalNum,dispatchedNum,dispatchingNum,receivedNum,completedNum,dispatchedPercent,dispatchingPercent,receivedPercent,completedPercent
100,省公司,120,24,36,48,12,20,30,40,10
101,江心洲,50,10,15,20,5,20,30,40,10
102,水务局,40,8,12,16,4,20,30,40,10
103,交通局,30,6,9,12,3,20,30,40,10

=== 接口5：各单位飞行统计（openNewTotalDataByDay） ===
deptId,deptName,recordCount,flightLength,durationHours,displayDate,
100,省公司,168,1392.47,35.1,,
101,江心洲,68,560.2,14.2,,
101,江心洲,12,98.5,2.5,2026/5/9,
101,江心洲,15,125.3,3.1,2026/5/10,
101,江心洲,10,82.4,2,2026/5/11,
102,水务局,55,450.8,11.3,,
102,水务局,8,65.2,1.6,2026/5/9,
102,水务局,12,98.7,2.5,2026/5/10,
102,水务局,9,75.6,1.9,2026/5/11,
103,交通局,45,381.47,9.6,,
103,交通局,7,58.9,1.5,2026/5/9,
103,交通局,10,85.3,2.1,2026/5/10,
103,交通局,8,68.2,1.7,2026/5/11,
